1,117,251,662,137,1095,31,84,63
2,4,2,246,34,285,14,80,87
3,93,114,745,108,153,37,57,73
4,262,53,571,87,955,17,80,67
5,300,65,212,37,439,40,56,64
6,284,129,123,116,870,36,89,49
7,227,145,455,60,1148,8,91,53
8,210,35,799,19,385,27,76,63
9,230,105,592,49,347,23,44,99
10,293,211,631,79,506,42,93,80
11,174,264,450,99,1047,46,94,87
12,43,108,329,24,1198,21,65,38
13,169,227,157,120,1442,20,43,64
14,193,241,292,68,520,47,62,99
15,182,76,702,63,439,43,41,60
16,186,108,673,144,1013,47,70,62
17,268,226,412,70,613,38,89,89
18,18,202,163,51,741,47,85,93
19,57,160,740,30,506,25,96,49
20,37,238,610,114,894,9,47,33
21,146,237,690,138,914,29,98,96
22,2,243,550,11,437,42,81,63
23,41,40,321,40,435,12,91,31
24,225,260,117,65,59,35,86,95
25,76,80,712,45,1171,45,51,90
26,42,4,428,23,1033,5,73,96
27,81,199,632,71,1116,25,55,41
28,133,252,740,25,357,16,61,65
29,10,62,560,54,1084,23,98,91
30,27,267,335,36,251,42,72,73
31,167,265,695,61,1186,34,87,97
32,258,10,241,10,808,7,97,92
33,234,98,677,67,1230,7,68,33
34,60,82,463,128,835,35,75,97
35,137,61,578,12,1145,37,67,88
36,69,140,609,43,215,49,96,69
37,232,272,26,28,524,23,100,42
38,283,183,603,19,1462,33,72,33
39,110,65,399,70,59,48,75,50
40,18,147,176,46,350,34,47,57
41,293,144,308,70,121,46,61,42
42,265,264,559,49,1401,24,70,58
43,132,125,775,77,774,48,47,86
44,48,214,738,113,693,48,95,94
45,296,224,204,105,360,44,78,68
46,236,17,37,75,774,11,54,30
47,195,50,114,51,1384,22,94,77
48,244,227,464,122,621,49,98,36
49,56,225,576,90,1182,40,87,49
50,81,255,408,86,1052,24,41,32
51,104,108,735,31,1127,32,96,69
52,297,246,412,12,529,41,89,96
53,174,158,567,127,969,21,47,44
54,18,151,180,134,941,5,95,87
55,226,139,591,74,965,42,74,80
56,44,102,411,143,175,41,89,95
57,126,49,43,36,920,44,59,64
58,139,91,318,12,1355,5,63,57
59,195,55,771,52,533,45,65,49
60,288,57,71,94,431,48,55,65
61,162,27,656,84,266,24,91,46
62,98,236,488,76,1220,36,92,40
63,5,202,457,104,1174,22,75,58
64,194,142,516,9,1123,49,45,51
65,34,141,109,126,1486,48,73,64
66,227,66,283,38,172,26,73,84
67,76,257,281,87,1307,18,83,95
68,11,188,5,120,798,26,48,55
69,138,24,727,127,259,18,85,58
70,117,62,755,72,1317,28,47,62
71,114,117,138,69,1290,19,88,76
72,247,72,627,108,1308,8,80,80
73,68,268,365,55,1038,30,71,41
74,132,11,232,63,1085,7,83,42
75,276,7,774,127,379,21,41,97
76,66,28,493,50,904,22,97,97
77,19,142,380,143,792,28,91,95
78,68,249,518,124,1023,21,63,66
79,178,203,429,144,975,12,93,98
80,223,73,733,49,674,12,73,57
81,204,17,181,43,238,16,81,97
82,278,14,272,97,161,49,50,32
83,185,92,731,12,305,27,87,65
84,279,259,41,93,211,29,53,58
85,201,132,65,61,238,49,91,84
86,11,227,761,67,463,50,41,55
87,47,143,107,68,153,37,86,78
88,246,81,731,145,619,18,75,86
89,128,148,515,86,728,11,78,94
90,131,170,744,116,701,47,66,93
91,1,38,523,144,1424,32,50,94
92,299,129,391,134,86,25,45,72
93,271,66,189,101,1286,39,68,74
94,57,110,44,60,326,38,45,40
95,206,189,253,103,1185,8,68,77
96,33,250,613,122,56,48,77,78
97,238,100,116,83,835,26,78,96
98,199,103,19,9,1081,10,79,57
99,272,203,693,127,1173,20,73,71
100,106,135,167,43,877,12,82,38
101,215,47,607,125,241,36,78,43
102,117,210,676,101,891,34,55,60
103,127,165,778,143,716,14,99,82
104,236,42,350,130,928,35,71,60
105,240,54,59,88,1261,43,62,65
106,124,3,603,65,559,42,66,51
107,80,179,225,66,677,25,60,51
108,15,3,655,121,69,30,88,72
109,118,172,768,6,1455,34,93,58
110,1,187,667,142,750,31,97,95
111,5,108,209,66,438,11,96,35
112,44,132,692,131,758,37,86,67
113,201,115,316,63,153,46,83,30
114,115,83,769,47,558,30,78,85
115,249,209,568,136,322,40,79,34
116,77,95,660,3,397,12,44,76
117,74,270,298,55,1022,15,80,99
118,171,63,488,9,580,8,98,48
119,77,199,729,147,418,11,85,48
120,113,255,279,26,527,23,66,79
121,22,178,287,33,900,35,74,75
122,9,176,481,134,518,14,52,51
123,139,94,43,108,1469,8,85,40
124,122,41,460,33,368,25,56,60
125,13,259,4,146,979,18,56,67
126,183,130,589,140,159,49,80,86
127,282,203,431,22,1045,35,54,94
128,264,192,145,111,222,19,65,36
129,288,195,282,48,1244,15,53,83
130,91,50,333,18,271,34,52,50
131,96,238,427,112,381,23,43,98
132,157,103,312,50,191,49,90,59
133,235,13,509,52,1235,48,66,96
134,33,19,113,58,58,47,77,83
135,49,3,646,80,312,28,48,66
136,185,28,266,133,596,35,65,81
137,145,104,129,73,381,30,93,73
138,170,225,178,148,386,10,46,84
139,91,173,724,37,55,11,56,92
140,157,259,246,64,1040,23,91,41
141,191,109,40,144,1308,26,56,90
142,211,109,767,105,901,22,71,89
143,113,181,86,28,115,31,65,63
144,75,229,243,70,1064,26,83,76
145,100,51,747,133,525,11,61,31
146,218,199,430,15,331,35,61,56
147,213,254,640,26,964,26,75,36
148,53,15,648,58,1490,40,74,92
149,29,193,184,64,1429,35,99,33
150,256,177,321,53,518,6,71,65
151,197,274,66,26,243,30,40,66
152,166,212,62,130,1175,35,100,44
153,184,177,141,74,1234,7,83,41
154,114,204,548,60,1036,49,48,90
155,27,194,684,39,955,36,81,64
156,138,96,378,144,212,43,77,72
157,195,185,254,8,132,27,96,61
158,54,243,476,146,483,45,75,69
159,152,72,195,108,908,26,62,69
160,174,58,133,129,1265,27,80,93
161,167,46,653,52,1063,32,62,77
162,270,70,200,114,790,37,85,46
163,87,60,485,120,1231,5,99,77
164,253,130,274,4,789,30,41,90
165,74,173,180,80,743,12,99,46
166,204,187,791,145,348,28,89,30
167,99,223,781,99,699,20,63,63
168,256,257,403,27,242,47,45,76
169,123,72,512,141,509,34,91,50
170,252,99,71,103,1355,42,81,69
171,79,8,751,132,1313,16,75,33
172,112,142,116,139,638,35,74,54
173,297,56,152,6,845,21,93,46
174,78,192,737,144,1426,39,82,88
175,187,257,331,46,1398,42,60,90
176,66,3,337,150,952,39,56,76
177,91,172,433,133,391,26,82,43
178,122,122,710,10,1241,34,84,39
179,173,150,372,115,734,44,60,63
180,142,23,586,58,564,36,96,46
181,274,105,743,118,586,50,41,60
182,244,184,131,37,1076,23,81,63
183,263,144,640,150,1328,8,47,48
184,129,222,150,108,870,32,90,54
185,290,224,296,94,101,30,74,49
186,80,267,761,127,738,29,51,63
187,126,73,481,104,638,45,61,38
188,131,262,753,138,1141,12,58,56
189,58,239,752,21,1366,24,93,83
190,269,113,751,125,341,49,71,93
191,111,106,200,123,340,24,76,38
192,56,210,341,143,476,27,65,60
193,122,232,242,111,1081,9,46,68
194,89,18,42,66,680,25,96,48
195,192,99,688,82,949,13,46,70
196,142,165,794,1,1256,14,49,70
197,274,71,533,84,1109,28,85,41
198,282,50,71,123,695,7,74,99
199,202,206,68,33,1041,15,47,78
200,20,89,681,36,206,18,81,77
201,9,53,324,20,899,17,59,58
202,218,102,778,7,1093,41,57,96
203,144,142,46,87,597,5,52,73
204,38,140,238,80,756,13,84,73
205,233,1,747,109,490,11,66,54
206,262,63,500,106,250,44,93,80
207,73,244,741,2,675,11,88,98
208,191,272,549,115,1048,13,97,59
209,147,26,678,145,157,25,86,85
210,179,175,518,132,822,15,84,68
211,200,241,269,77,516,19,86,35
212,1,261,19,65,216,17,56,35
213,102,198,677,47,744,40,78,55
214,89,237,63,79,1433,12,49,62
215,148,129,181,71,299,32,94,72
216,215,42,695,74,903,34,76,93
217,35,101,420,99,605,30,70,94
218,150,184,49,25,818,13,84,30
219,109,93,713,8,110,43,91,67
220,127,132,106,90,771,44,43,41
221,70,168,522,17,512,14,44,64
222,219,73,173,95,850,33,76,72
223,199,118,357,128,1393,19,50,67
224,247,7,468,39,332,33,64,51
225,285,163,304,49,984,34,43,49
226,59,185,692,51,475,16,72,40
227,51,234,258,101,553,17,79,72
228,141,76,797,34,903,12,79,94
229,240,81,769,74,966,47,57,98
230,69,146,393,105,541,36,63,30
231,13,183,525,20,1401,34,95,41
232,69,18,645,130,194,9,96,71
233,219,238,698,14,631,13,68,37
234,158,44,390,30,267,13,91,50
235,36,133,153,107,415,8,91,37
236,54,261,33,102,1361,34,62,100
237,13,154,365,13,937,33,77,87
238,233,221,523,139,246,16,51,90
239,150,76,557,69,984,35,53,52
240,168,237,555,136,413,5,42,53
241,186,184,756,67,1131,8,70,77
242,65,206,689,37,246,39,92,71
243,121,141,650,11,1026,24,77,70
244,201,172,492,37,456,48,80,81
245,207,207,176,145,1452,14,41,45
246,105,216,58,29,896,39,95,76
247,128,90,217,150,1348,33,100,39
248,269,257,645,94,855,43,99,66
249,241,52,438,81,531,8,69,66
250,201,63,344,98,1147,32,79,83
251,147,73,595,24,1032,24,87,51
252,296,168,220,62,723,7,65,30
253,116,141,383,27,1074,20,70,55
254,27,26,7,87,445,31,52,60
255,78,174,162,93,1225,43,47,45
256,90,48,515,84,271,40,67,53
257,146,218,666,132,1389,44,83,65
258,38,83,564,85,537,39,47,97
259,170,263,59,38,407,24,73,86
260,175,91,209,123,125,39,80,96
261,201,140,520,95,1428,45,51,66
262,63,260,504,77,894,15,57,89
263,145,199,308,46,1084,30,53,67
264,180,265,147,95,1053,13,88,52
265,38,185,408,132,706,17,42,98
266,255,76,205,114,1469,7,42,50
267,234,162,399,28,715,27,83,36
268,54,244,706,2,851,5,79,60
269,140,252,379,115,1136,36,67,65
270,198,140,438,43,242,25,76,52
