1,22,2010
2,22,2012
3,26,2003
4,60,2009
5,46,2012
6,43,2010
7,22,2013
8,34,2008
9,6,2014
10,22,2003
11,52,2013
12,16,2002
13,5,2008
14,43,2009
15,37,2014
16,46,2013
17,41,2011
18,57,2006
19,18,2005
20,42,2017
21,55,2017
22,32,2006
23,58,2002
24,47,2005
25,55,2014
26,32,2014
27,40,2012
28,51,2013
29,29,2017
30,46,2017
31,12,2013
32,9,2016
33,51,2005
34,26,2017
35,3,2013
36,4,2015
37,13,2016
38,56,2005
39,47,2016
40,10,2009
41,57,2008
42,29,2008
43,12,2013
44,1,2015
45,54,2013
46,11,2004
47,14,2016
48,20,2004
49,10,2011
50,5,2010
51,11,2009
52,8,2014
53,11,2013
54,3,2003
55,32,2014
56,35,2006
57,9,2009
58,3,2017
59,42,2011
60,15,2005
61,5,2006
62,37,2004
63,49,2012
64,56,2015
65,4,2002
66,5,2016
67,1,2007
68,36,2006
69,11,2012
70,53,2014
71,22,2007
72,31,2017
73,47,2007
74,51,2008
75,40,2002
76,27,2016
77,32,2015
78,8,2006
79,50,2016
80,12,2003
81,5,2011
82,25,2010
83,33,2014
84,19,2013
85,12,2003
86,15,2012
87,17,2016
88,25,2011
89,15,2005
90,18,2016
91,18,2011
92,5,2007
93,57,2002
94,4,2005
95,23,2012
96,24,2005
97,12,2016
98,12,2013
99,4,2012
100,20,2013
101,45,2014
102,8,2005
103,53,2011
104,4,2007
105,25,2010
106,51,2005
107,24,2007
108,55,2014
109,47,2004
110,18,2002
111,58,2005
112,58,2003
113,6,2006
114,11,2005
115,18,2010
116,12,2016
117,31,2002
118,5,2017
119,29,2014
120,45,2009
121,23,2010
122,7,2017
123,21,2010
124,6,2012
125,39,2013
126,9,2005
127,34,2011
128,18,2010
129,2,2008
130,17,2006
131,22,2004
132,14,2002
133,34,2004
134,47,2013
135,22,2011
136,22,2013
137,16,2012
138,60,2012
139,44,2003
140,46,2013
141,55,2006
142,15,2016
143,44,2005
144,9,2015
145,15,2003
146,5,2003
147,21,2014
148,25,2013
149,30,2011
150,8,2016
151,51,2003
152,29,2012
153,2,2008
154,56,2014
155,16,2004
156,40,2011
157,49,2014
158,36,2015
159,48,2005
160,54,2005
161,18,2009
162,42,2014
163,26,2012
164,11,2013
165,6,2015
166,30,2015
167,18,2008
168,57,2011
169,46,2004
170,16,2008
171,44,2010
172,35,2004
173,10,2011
174,44,2008
175,14,2002
176,60,2017
177,21,2010
178,60,2003
179,41,2009
180,39,2011
181,6,2013
182,50,2004
183,5,2003
184,42,2004
185,40,2017
186,27,2008
187,50,2011
188,17,2013
189,16,2013
190,11,2015
191,58,2006
192,39,2014
193,18,2006
194,15,2002
195,26,2003
196,35,2012
197,24,2004
198,60,2014
199,50,2013
200,45,2009
201,16,2011
202,57,2003
203,32,2012
204,45,2015
205,41,2006
206,22,2013
207,50,2015
208,16,2013
209,14,2005
210,44,2003
211,1,2002
212,26,2015
213,15,2014
214,30,2002
215,19,2017
216,57,2015
217,28,2014
218,36,2002
219,23,2014
220,17,2015
221,2,2004
222,35,2015
223,3,2015
224,8,2008
225,4,2015
226,25,2013
227,51,2002
228,16,2003
229,46,2016
230,41,2005
231,3,2006
232,6,2004
233,41,2011
234,60,2005
235,7,2008
236,3,2011
237,55,2004
238,15,2008
239,33,2016
240,20,2005
241,14,2016
242,13,2004
243,45,2013
244,32,2015
245,55,2011
246,32,2015
247,44,2017
248,54,2006
249,28,2002
250,30,2013
251,37,2003
252,56,2017
253,21,2009
254,27,2015
255,42,2008
256,60,2009
257,11,2006
258,25,2013
259,14,2003
260,45,2013
261,27,2014
262,49,2009
263,1,2007
264,43,2004
265,40,2011
266,46,2008
267,23,2015
268,15,2010
269,1,2007
270,35,2002
271,8,2016
272,12,2007
273,47,2012
274,39,2004
275,9,2016
